PD1[][0],PD1[][1],PD1[][2],PD1[][3],PD1[][4],PD1[][5],PD1[][6],PD1[][7],PD1[][8],PD1[][9],PD1[][10],PD1[][11],PD1[][12],PD1[][13],PD1[][14],PD1[][15],PD1[][16],PD1[][17],PD1[][18],PD1[][19],PD1[][20],PD1[][21],PD1[][22],PD1[][23],PD1[][24],PD1[][25],PD1[][26],PD1[][27],PD1[][28],PD1[][29],PD1[][30],PD1[][31],PD1[][32],PD1[][33],PD1[][34],PD1[][35],PD1[][36],PD1[][37],PD1[][38],PD1[][39],PD1[][40],PD1[][41],PD1[][42],PD1[][43],PD1[][44],PD1[][45],PD1[][46],PD1[][47],PD1[][48],PD1[][49]
0.0642857,0.0336135,0.0819113,0.411348,0.0747825,0.49483,0.0228832,0.190283,-0.212435,-0.13141,-0.214979,-0.0642459,0.0923077,0.266,-0.129151,0.121457,0.0593406,0.344828,-0.0664698,0.110476,0.0494622,-0.0108993,0.205479,0.170213,0.210909,0.391978,0.300412,0.130177,0.0535167,0.0495437,0.261248,0.197107,-0.308333,0.360577,0.745455,-0.122711,-0.156915,-0.21087,0.384047,0.0200364,-0.24902,0.0566502,0.105422,0.0319549,0.112385,-0.329091,-0.00132107,-0.16381,-0.0609391,-0.116835
-0.0952381,0.112045,0.0546075,0.539007,-0.00869568,0.612998,0.0526314,-0.097166,-0.184801,-0.121795,-0.323162,-0.265363,-0.0615385,0.216,-0.124231,0.120445,0.00109888,0.288098,-0.00147719,-0.0171429,0.0215052,0.0313351,0.205479,0.0276597,0.191515,0.260711,0.263375,0.156213,0.220183,0.138201,0.329463,0.282098,0.0437499,0.254808,0.789091,0.152015,0.00930844,-0.276087,0.322009,0.0928962,-0.341177,-0.251231,0.301205,-0.0375941,0.0871559,-0.216364,0.0964332,-0.310476,-0.144855,-0.109476
-0.142857,-0.0336135,-0.116041,0.450355,-0.00173925,0.406204,-0.0526316,0.00404857,0.0673575,-0.0256411,-0.162275,-0.310056,-0.0807693,0.00200007,-0.163592,-0.0263157,0.171428,0.25584,0.299852,-0.0561905,-0.0881721,-0.00681206,0.173516,0.0329788,0.277576,0.200547,0.237311,0.111242,0.19419,0.112125,0.161103,0.34358,0.18125,0.209135,0.798182,0.410256,0.0638299,0.00869565,0.261448,-0.0418943,-0.366667,-0.320197,0.409639,0.00375939,0.112385,-0.00181837,0.26288,-0.0685714,-0.254745,-0.133395
-0.0309523,0.232493,-0.0955631,0.273049,0.144348,0.258493,-0.048055,0.17004,0.157168,-0.0384616,-0.178918,-0.22067,0.0692308,-0.0159999,-0.0418203,-0.0637652,0.203297,0.152392,0.342688,-0.0514286,-0.0903226,0.126703,0.240487,0.0117022,0.421818,0.0847768,0.120713,0.171597,0.148318,0.095176,0.13643,0.296564,0.252083,-0.0384615,0.767273,0.265568,-0.0039893,0.156522,0.319055,-0.0346084,-0.268627,-0.197044,0.370482,0.0676693,0.158257,0.0799998,0.400264,-0.0742858,-0.184815,-0.0340386
0.197619,0.509804,-0.146758,0.343972,0.137391,0.0605613,-0.125858,0.202429,0.00863561,0.208333,0.0208045,0.0782123,0.107692,-0.04,-0.0738006,0.0344131,0.272528,0.107898,0.478582,0.000952412,0.0172041,0.212534,0.162861,0.0159576,0.290909,0.0464905,0.0644719,0.179882,0.0993883,0.0547588,0.0943397,0.244123,0.0999999,-0.103365,0.634545,0.260073,0.119681,0.415217,0.304284,-0.0655738,-0.14902,-0.0738916,0.0843374,0.0714286,0.0894495,0.0690909,0.458388,0.0438094,-0.0249751,0.0561179
0.419048,0.540616,-0.0614335,0.475177,0.328696,-0.0841951,-0.00686505,0.263158,-0.1019,-0.00641027,0.32871,0.139665,0.184615,0.09,-0.0098401,0.0010122,0.179121,0.00222474,0.422452,0.0219048,0.106452,0.303815,0.208523,-0.030851,0.175758,0.0291706,0.135802,0.0781065,-0.058104,0.0808345,0.0130624,0.0886075,0.0999999,-0.0360576,0.62,0.1337,0.195479,0.645652,0.225997,-0.0510019,-0.0980392,0.100985,-0.0662651,-0.0319549,0.0825688,0.123636,0.138705,-0.0380953,0.0109888,0.183073
0.459524,0.59944,0.16041,0.347518,0.533913,-0.225997,-0.10984,0.133603,-0.0328151,-0.163462,0.242718,0.0754191,-0.0230769,-0.004,0.0184501,-0.0445344,-0.0428572,0.0122358,0.40325,0.0876191,0.119355,0.36376,0.162861,-0.0606382,0.0654546,0.154968,0.349794,0.0994083,-0.087156,0.10691,-0.0261249,0.184449,0.0479166,-0.0408653,0.565455,0.0347985,0.246011,0.591304,0.3161,0.134791,-0.0176471,0.179803,-0.0421686,-0.00187966,-0.0366973,0.0345454,0.0594452,-0.106667,0.100899,0.148114
0.22381,0.336134,0.133106,0.326241,0.398261,-0.042836,-0.221968,-0.0607289,-0.119171,-0.176282,0.115118,0.0307263,0.0653845,-0.0819999,0.0479704,-0.00708504,-0.113187,-0.025584,0.302806,0.187619,0.0677419,0.242507,0.205479,-0.0861701,0.169697,0.10392,0.404664,-0.00828405,-0.0932722,0.10691,0.100145,0.262206,0.272917,0.0144231,0.5,0.0622711,0.260638,0.426087,0.357459,0.0655738,0.103922,0.118227,0.0662651,0.00187966,0.0137615,-0.0927274,-0.00396308,-0.0438097,0.166833,0.0524379
0.0666667,-0.0476192,0.163823,0.148936,0.349565,-0.0369277,-0.0686499,-0.137652,-0.226252,-0.0224358,0.00970878,0.0307262,0.230769,-0.136,-0.0110701,-0.097166,0.0736263,0.0711903,0.313146,0.241905,-0.0494624,0.0626702,0.240487,0.0393618,0.166061,0.107566,0.33882,-0.0923077,-0.122324,0.0677966,0.110305,0.280289,0.185417,0.110577,0.363636,0.227106,0.131649,0.26087,0.319055,0.010929,0.133333,0.0714286,0.210844,0.00375939,0.0550459,-0.154546,-0.109643,0.095238,0.036963,-0.024839
0.0238095,0,0.382253,0.134752,0.213913,0.0487444,0.0983982,0.05668,-0.136442,0.0448718,-0.192788,0.0782123,0.434615,-0.1,0.0319804,-0.0991902,0.0538462,0.114572,0.104874,0.144762,-0.186022,0.0354223,0.243531,0.025532,0.225455,0.118505,0.163237,-0.07929,-0.0917432,-0.0208605,0.0798259,0.254973,0.233333,-0.0336538,-0.00545463,0.217949,-0.00664887,0.0847826,0.285081,-0.0965392,0.307843,0.23399,0.38253,0.0357143,0.0183487,-0.134546,-0.125495,0.0819047,-0.00699307,0.0248391
